restaurantname,pricerange,area,crowdedness,length of stay,food,food quality,phone,addr,postcode
rice house,cheap,south,busy,long stay,chinese,good food,01223 367755,88 mill road city centre,
the river bar steakhouse and grill,cheap,centre,busy,short stay,modern european,high quality food,01223 307030,quayside off bridge street,c.b 5
nandos city centre,cheap,centre,quiet,short stay,portuguese,good food,01223 327908,33-34 saint andrews street,c.b 2
prezzo,moderate,west,busy,long stay,italian,high quality food,01799 521260,21 - 24 northampton road,c.b 3
galleria,moderate,centre,quiet,short stay,european,good food,01223 362054,33 bridge street,c.b 2
bloomsbury restaurant,moderate,north,busy,short stay,international,good food,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2
the good luck chinese food takeaway,expensive,south,busy,short stay,chinese,good food,01223 244149,82 cherry hinton road cherry hinton,c.b 1
the varsity restaurant,moderate,centre,quiet,short stay,international,high quality food,01223 356060,35 saint andrews street city centre,c.b 2
de luca cucina and bar,moderate,centre,quiet,long stay,modern european,good food,01223 356666,83 regent street,c.b 2
da vinci pizzeria,cheap,north,busy,short stay,traditional,good food,01223 351707,20 milton road chesterton,c.b 4
shiraz restaurant,expensive,centre,busy,long stay,mediterranean,high quality food,01223 307581,84 regent street city centre,c.b 2
the lucky star,cheap,south,busy,long stay,chinese,good food,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1
royal spice,cheap,north,quiet,long stay,indian,good food,01733 553355,victoria avenue chesterton,c.b 4
ask,cheap,centre,busy,short stay,seafood,good food,01223 364917,12 bridge street city centre,c.b 2
taj tandoori,expensive,south,busy,long stay,portuguese,high quality food,01223 412299,64 cherry hinton road cherry hinton,c.b 1
tandoori palace,moderate,north,quiet,short stay,indian,good food,01223 506055,68 histon road chesterton,c.b 4
yippee noodle bar,moderate,centre,busy,short stay,asian oriental,high quality food,01223 518111,40428 king street city centre,c.b 1
travellers rest,expensive,west,quiet,long stay,british,high quality food,01223 276182,huntingdon road city centre,
maharajah tandoori restaurant,expensive,east,busy,short stay,indian,high quality food,01223 358399,41518 castle street city centre,c.b 3
shanghai family restaurant,moderate,east,busy,long stay,chinese,high quality food,01223 301761,39 burleigh street city centre,
curry prince,expensive,east,quiet,long stay,indian,good food,01223 566388,451 newmarket road fen ditton,c.b 5
the gandhi,cheap,centre,busy,short stay,indian,good food,01223 353942,72 regent street city centre,
kymmoy,expensive,centre,busy,long stay,asian oriental,high quality food,01223 311911,52 mill road city centre,c.b 1
golden house,cheap,centre,busy,short stay,polynesian,good food,01842 753771,12 lensfield road city centre,
bedouin,expensive,centre,quiet,long stay,african,high quality food,01223 367660,100 mill road city centre,c.b 1
pipasha restaurant,expensive,east,quiet,long stay,indian,good food,01223 577786,newmarket road fen ditton,c.b 5
charlie chan,cheap,centre,quiet,short stay,chinese,good food,01223 361763,regent street city centre,c.b 2
lan hong house,moderate,centre,quiet,long stay,thai,high quality food,01223 350420,12 norfolk street city centre,
la tasca,moderate,centre,busy,short stay,spanish,high quality food,01223 464630,14 -16 bridge street,c.b 2
backstreet bistro,expensive,south,busy,long stay,gastropub,good food,01223 306306,2 sturton street city centre,c.b 1
la raza,cheap,centre,busy,long stay,spanish,good food,01223 464550,4 - 6 rose crescent,c.b 2
the slug and lettuce,expensive,east,busy,short stay,gastropub,high quality food,dontcare,34 - 35 green street,c.b 2
restaurant one seven,moderate,north,quiet,long stay,british,good food,01223 337766,de vere university arms regent street city centre,
fitzbillies restaurant,expensive,centre,busy,short stay,british,high quality food,01223 352500,51 trumpington street city centre,
anatolia,moderate,centre,busy,long stay,turkish,good food,01223 362372,30 bridge street city centre,c.b 2
clowns cafe,moderate,centre,busy,short stay,bistro,good food,01223 355711,,c.b 1
kohinoor,cheap,west,quiet,short stay,indian,good food,01223 323639,74 mill road city centre,
the cambridge chop house,cheap,centre,busy,long stay,british,good food,01223 359506,1 kings parade,
gourmet burger kitchen,expensive,centre,busy,short stay,north american,good food,01223 312598,regent street city centre,c.b 2
la mimosa,expensive,centre,busy,short stay,mediterranean,high quality food,01223 362525,thompsons lane fen ditton,c.b 5
meze bar restaurant,expensive,centre,busy,short stay,turkish,high quality food,,196 mill road city centre,c.b 1
the golden curry,expensive,south,quiet,short stay,australasian,high quality food,01223 329432,,
curry queen,moderate,,quiet,long stay,indian,high quality food,,106 mill road city centre,c.b 1
hakka,cheap,north,quiet,long stay,persian,high quality food,01223 568988,milton road chesterton,c.b 4
the oak bistro,moderate,centre,busy,short stay,british,high quality food,01223 323361,6 lensfield road,
riverside brasserie,moderate,centre,quiet,long stay,gastropub,good food,01223 259988,doubletree by hilton cambridge granta place mill lane,
the copper kettle,moderate,east,quiet,long stay,british,high quality food,01223 365068,4 kings parade city centre,c.b 2
zizzi cambridge,expensive,south,busy,short stay,italian,high quality food,01223 365599,47-53 regent street,
saffron brasserie,expensive,centre,busy,long stay,jamaican,high quality food,,,
india house,expensive,west,quiet,long stay,indian,good food,01223 461661,31 newnham road newnham,
ali baba,moderate,centre,busy,long stay,lebanese,high quality food,01462 432565,59 hills road city centre,c.b 2
rice boat,expensive,north,busy,short stay,indian,good food,01223 302800,37 newnham road newnham,
midsummer house restaurant,expensive,centre,busy,short stay,british,high quality food,01223 369299,midsummer common,
hotel du vin and bistro,moderate,centre,busy,short stay,european,high quality food,01223 227330,15 - 19 trumpington street,c.b 2
darrys cookhouse and wine shop,expensive,south,quiet,long stay,modern european,high quality food,01223 505015,40270 king street city centre,c.b 1
pizza express,cheap,centre,busy,short stay,spanish,good food,01223 324033,,c.b 2
jinling noodle bar,moderate,centre,busy,short stay,cuban,high quality food,01223 566188,11 peas hill city centre,c.b 2
graffiti,moderate,north,quiet,short stay,indian,good food,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3
wagamama,expensive,centre,busy,short stay,japanese,high quality food,01223 462354,36 saint andrews street,c.b 2
pizza hut city centre,cheap,centre,busy,short stay,italian,good food,01223 323737,regent street city centre,
curry king,expensive,centre,busy,long stay,seafood,high quality food,01223 324351,5 jordans yard bridge street city centre,
panahar,expensive,centre,quiet,short stay,mediterranean,good food,,,
ugly duckling,expensive,centre,busy,short stay,catalan,high quality food,,12 st. johns street city centre,
pizza express fen ditton,moderate,centre,quiet,short stay,european,good food,,jesus lane fen ditton,
sesame restaurant and bar,moderate,,quiet,long stay,turkish,good food,,,
hk fusion,expensive,centre,busy,short stay,thai,high quality food,,21 burleigh street city centre,c.b 1
